"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price","company_id/id"
"init.aad5f784-1350-11df-a1f1-0026b9348838","Triomune-30","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.aad5f982-1350-11df-a1f1-0026b9348838","Triomune-40","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.aad5fab8-1350-11df-a1f1-0026b9348838","d4T-30","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.aad5fbe4-1350-11df-a1f1-0026b9348838","d4T-40","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.aad5fd10-1350-11df-a1f1-0026b9348838","DDI 125","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.aad5fe32-1350-11df-a1f1-0026b9348838","DDI 200","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.d57e301e-47ee-11df-8f94-000d6014b64c","Triomune-15","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.dcaa4de6-47ee-11df-8f94-000d6014b64c","Triomune-20","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.b999a0ac-8df0-11df-99f0-000d6014b64c","DDI 400 EC","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.f09920e0-9107-11df-8193-000d6014b64c","DDI 250 EC","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.f7cf0dd2-932f-11df-8193-000d6014b64c","Triomune-Junior","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
"init.8ddf2f66-9333-11df-8193-000d6014b64c","NVP 200 and 3TC 150 and ZDV 300","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","1.00","0.80",""
